dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,rain,City,Latitude,Longitude,snow,day,min,max,night,eve,morn,average_min_temp,average_max_temp,rain_fall,avg_clouds,City_ID
2025-02-03 12:00:00+00:00,1738567966,1738602416,1738575420,0,0.18,There will be clear sky today,"{'day': 7.86, 'min': 1.21, 'max': 8.62, 'night': 2.94, 'eve': 7.09, 'morn': 1.26}","{'day': 6.09, 'night': -0.26, 'eve': 5.08, 'morn': -1.84}",1028,75,3.71,3.51,167,4.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4,0.0,1.37,,Mont Saint Michel,48.64,-1.51,,7.86,1.21,8.62,2.94,7.09,1.26,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-04 12:00:00+00:00,1738654281,1738688914,1738662900,1738626480,0.22,Expect a day of partly cloudy with rain,"{'day': 9.43, 'min': 1.32, 'max': 11.07, 'night': 8.9, 'eve': 7.98, 'morn': 1.32}","{'day': 6.36, 'night': 6.91, 'eve': 5.43, 'morn': -2.66}",1027,81,6.13,6.95,209,10.61,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1,1.0,1.3,0.59,Mont Saint Michel,48.64,-1.51,,9.43,1.32,11.07,8.9,7.98,1.32,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-05 12:00:00+00:00,1738740593,1738775413,1738750680,1738717980,0.25,Expect a day of partly cloudy with clear spells,"{'day': 9.74, 'min': 4.7, 'max': 10.13, 'night': 4.7, 'eve': 6.47, 'morn': 5.05}","{'day': 8.66, 'night': 2.12, 'eve': 4.17, 'morn': 3.83}",1040,70,4.26,3.56,351,5.74,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",70,0.76,1.24,,Mont Saint Michel,48.64,-1.51,,9.74,4.7,10.13,4.7,6.47,5.05,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-06 12:00:00+00:00,1738826905,1738861912,1738838880,1738809480,0.29,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 7.97, 'min': 3.76, 'max': 8.47, 'night': 4.29, 'eve': 5.01, 'morn': 4.13}","{'day': 4.51, 'night': -0.41, 'eve': 0.61, 'morn': 1.01}",1039,67,2.13,7.03,47,13.51,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",55,0.0,1.09,,Mont Saint Michel,48.64,-1.51,,7.97,3.76,8.47,4.29,5.01,4.13,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-07 12:00:00+00:00,1738913214,1738948412,1738927680,1738900680,0.33,"There will be clear sky until morning, then partly cloudy","{'day': 4.6, 'min': 2.04, 'max': 4.6, 'night': 2.56, 'eve': 3.35, 'morn': 2.04}","{'day': 0.21, 'night': -1.53, 'eve': -0.93, 'morn': -2.64}",1026,72,-0.21,6.84,48,12.85,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",83,0.0,1.37,,Mont Saint Michel,48.64,-1.51,,4.6,2.04,4.6,2.56,3.35,2.04,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-08 12:00:00+00:00,1738999522,1739034911,1739017320,1738991280,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 6.7, 'min': 2.1, 'max': 6.7, 'night': 4.96, 'eve': 4.92, 'morn': 2.1}","{'day': 4.13, 'night': 1.71, 'eve': 1.52, 'morn': -1.9}",1027,72,1.77,4.7,43,8.26,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",92,1.0,2.0,1.98,Mont Saint Michel,48.64,-1.51,,6.7,2.1,6.7,4.96,4.92,2.1,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-09 12:00:00+00:00,1739085828,1739121410,1739107740,1739081040,0.4,Expect a day of partly cloudy with rain,"{'day': 9.63, 'min': 5.33, 'max': 10.54, 'night': 5.58, 'eve': 6.81, 'morn': 6.17}","{'day': 7.17, 'night': 1.91, 'eve': 3.3, 'morn': 4.18}",1036,74,5.0,5.73,55,11.47,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",99,0.41,2.0,0.36,Mont Saint Michel,48.64,-1.51,,9.63,5.33,10.54,5.58,6.81,6.17,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-10 12:00:00+00:00,1739172132,1739207909,1739198700,1739169900,0.43,Expect a day of partly cloudy with clear spells,"{'day': 8.6, 'min': 2.44, 'max': 9.83, 'night': 3.81, 'eve': 5.52, 'morn': 2.44}","{'day': 6.18, 'night': 0.71, 'eve': 2.66, 'morn': -1.02}",1031,69,3.12,4.22,91,9.16,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",43,0.0,2.0,,Mont Saint Michel,48.64,-1.51,,8.6,2.44,9.83,3.81,5.52,2.44,2.8625000000000003,8.745,0.9766666666666666,55.875,276
2025-02-03 12:00:00+00:00,1738568092,1738602539,1738575540,0,0.18,Expect a day of partly cloudy with clear spells,"{'day': 8.73, 'min': 3.24, 'max': 9.5, 'night': 5.26, 'eve': 8.44, 'morn': 3.49}","{'day': 6.5, 'night': 1.58, 'eve': 6.21, 'morn': 0.24}",1027,79,5.3,5.18,180,6.89,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",43,0.0,1.36,,St Malo,48.65,-2.03,,8.73,3.24,9.5,5.26,8.44,3.49,4.48,8.75,0.505,64.25,324
2025-02-04 12:00:00+00:00,1738654407,1738689038,1738663080,1738626600,0.22,Expect a day of partly cloudy with rain,"{'day': 10.24, 'min': 3.47, 'max': 11.9, 'night': 8.99, 'eve': 9.4, 'morn': 3.74}","{'day': 9.46, 'night': 7.25, 'eve': 6.85, 'morn': -0.32}",1026,82,7.14,8.04,203,12.61,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",19,0.84,1.3,0.24,St Malo,48.65,-2.03,,10.24,3.47,11.9,8.99,9.4,3.74,4.48,8.75,0.505,64.25,324
2025-02-05 12:00:00+00:00,1738740720,1738775537,1738750800,1738718100,0.25,There will be partly cloudy today,"{'day': 9.42, 'min': 6.51, 'max': 9.48, 'night': 6.51, 'eve': 7.56, 'morn': 7.51}","{'day': 8.44, 'night': 3.69, 'eve': 5.32, 'morn': 6.02}",1040,72,4.56,4.1,68,6.01,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",63,0.0,1.31,,St Malo,48.65,-2.03,,9.42,6.51,9.48,6.51,7.56,7.51,4.48,8.75,0.505,64.25,324
2025-02-06 12:00:00+00:00,1738827031,1738862036,1738839000,1738809600,0.29,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 7.55, 'min': 5.28, 'max': 8.18, 'night': 5.73, 'eve': 6.12, 'morn': 5.85}","{'day': 3.62, 'night': 0.73, 'eve': 1.15, 'morn': 2.29}",1039,71,2.46,9.68,49,13.37,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",43,0.0,0.96,,St Malo,48.65,-2.03,,7.55,5.28,8.18,5.73,6.12,5.85,4.48,8.75,0.505,64.25,324
2025-02-07 12:00:00+00:00,1738913340,1738948535,1738927800,1738900800,0.33,Expect a day of partly cloudy with rain,"{'day': 5.09, 'min': 4.08, 'max': 5.36, 'night': 4.2, 'eve': 4.49, 'morn': 4.39}","{'day': 0.28, 'night': -0.23, 'eve': -0.23, 'morn': -0.62}",1026,72,0.37,8.92,56,13.64,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",90,0.2,1.38,0.22,St Malo,48.65,-2.03,,5.09,4.08,5.36,4.2,4.49,4.39,4.48,8.75,0.505,64.25,324
2025-02-08 12:00:00+00:00,1738999648,1739035034,1739017440,1738991400,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 5.81, 'min': 3.59, 'max': 6.87, 'night': 5.3, 'eve': 5.54, 'morn': 3.73}","{'day': 2.69, 'night': 1.18, 'eve': 1.72, 'morn': -0.84}",1027,72,1.1,6.3,65,8.37,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",97,0.84,2.0,1.08,St Malo,48.65,-2.03,,5.81,3.59,6.87,5.3,5.54,3.73,4.48,8.75,0.505,64.25,324
